Colmn,Query,Value,Recall
num_rel,1,0.1,0.2
num_rel,2,0.3,1
num_rel,3,0.1,0.166666667
num_rel,4,0.1,0.083333333
num_rel,5,0.1,0.125
num_rel,6,0.3,1
num_rel,7,0.6,0.214285714
num_rel,8,0.2,0.666666667
num_rel,9,0.1,0.111111111
num_rel,10,0.8,0.228571429
num_rel,11,0.7,0.368421053
num_rel,12,0.2,0.4
num_rel,13,0.1,0.090909091
num_rel,14,0.2,0.045454545
num_rel,15,0.2,0.2
num_rel,16,0.2,0.117647059
num_rel,17,0.2,0.125
num_rel,18,0.1,0.090909091
num_rel,19,0.5,0.454545455
num_rel,20,0.2,0.666666667
num_rel,21,0.2,0.181818182
num_rel,22,0.7,0.411764706
num_rel,23,0.1,0.25
num_rel,24,0.2,0.153846154
num_rel,25,0.5,0.098039216
num_rel,26,0.8,0.266666667
num_rel,27,0.6,0.206896552
num_rel,28,0.4,0.8
num_rel,29,0.3,0.157894737
num_rel,30,0.1,0.25
num_rel,31,0.2,1
num_rel,32,0.2,0.666666667
num_rel,33,0.1,1
num_rel,36,0.4,0.2
num_rel,37,0.1,0.083333333
num_rel,38,0.2,0.125
num_rel,39,0.3,0.25
num_rel,40,0.2,0.2
num_rel,42,0,0
num_rel,43,0.5,0.12195122
num_rel,44,0.4,0.235294118
num_rel,45,0.5,0.192307692
num_rel,48,0,0
num_rel,49,0.2,0.25
num_rel,57,0.1,1
num_rel,58,0.6,0.2
num_rel,59,0.6,0.139534884
num_rel,60,0.3,0.111111111
num_rel,61,0.7,0.225806452
num_rel,62,0,0
num_rel,63,0.4,0.333333333
